GENHLTH	EXERANY	HTF	HTI	SMOKE100	WEIGHT	WTDESIRE	AGE	SEX	HEIGHT_IN_INCHES	BMI
2	1.0	5	6	2	140	134.0	19	2	66	22.594123048668507
2		5	8	1	140		30	2	68	21.284602076124568
1		5	7	1	150		52	2	67	23.49075517932724
3		5	10	2	204		51	1	70	29.267755102040816
2		5	4	2	180		72	2	64	30.8935546875
2		5	4	2	145		51	2	64	24.886474609375
1		5	5	2	142		39	2	65	23.627455621301774
2		5	3	2	150		42	2	63	26.56840513983371
2		5	5	2	160		34	1	65	26.622485207100592
3		6	5	2	100		53	1	77	11.856974194636532
2		5	11	2	200		30	1	71	27.891291410434434
3		6	0	1	300		18	1	72	40.682870370370374
3		6	3	1	330		39	1	75	41.242666666666665
2	1.0	5	3	2	99		66	2	63	17.53514739229025
1	1.0	5	7	2	140		33	2	67	21.924704834038764
3		5	8	1	158		46	1	68	24.0211937716263
3		5	0	2	115		36	2	60	22.456944444444442
3		6	0	1	180		25	1	72	24.409722222222225
2		5	4	1	130		71	2	64	22.31201171875
4		5	6	2	200		65	1	66	32.277318640955
3		5	3	1	110		79	2	63	19.48349710254472
3		5	9	2	195		83	1	69	28.793320730938877
1		5	4	2	170		37	2	64	29.17724609375
2		5	10	2	200		45	1	70	28.693877551020407
1		5	11	1	170		62	1	71	23.70759769886927
1		5	11	2	193		9	1	71	26.91509621106923
4		6	1	1	353		58	1	73	46.5676487145806
1		5	11	2	160		63	1	71	22.313033128347552
2		5	6	2	105		27	2	66	16.945592286501377
5		4	6	2	124		82	2	54	29.89437585733882
2		5	6	2	160		39	1	66	25.821854912764003
3		5	5	1	123		30	2	65	20.46603550295858
3		4	11	1	120		82	2	59	24.234415397874173
2		6	0	1	195		28	1	72	26.44386574074074
3		5	4	1	205		31	2	64	35.184326171875
1		5	11	2	199		56	1	71	27.751834953382268
3		5	3	2	106		43	2	63	18.775006298815825
2		5	8	1	180		41	2	68	27.3659169550173
3		5	4	1	142		56	2	64	24.37158203125
3		6	0	2	205		48	1	72	27.79996141975309
3		5	6	1	155		66	2	66	25.01492194674013
3		5	2	2	137		61	2	62	25.054890738813736
1	1.0	6	1	2	201		54	1	73	26.51585663351473
3		5	3	2	119		33	2	63	21.077601410934744
4		4	11	2	200		35	2	59	40.39069232979029
3		5	5	2	150		46	1	65	24.958579881656807
5		4	9	2	168		65	2	57	36.35087719298245
3		5	7	2	200		35	2	67	31.32100690576966
4		5	4	2	125		39	2	64	21.453857421875
1		5	5	1	125		43	2	65	20.798816568047336
2		5	7	2	162		41	2	67	25.370015593673426
2		5	7	1	150		37	2	67	23.49075517932724
1		5	7	2	142		28	2	67	22.23791490309646
1		5	11	1	180		29	1	71	25.102162269390995
1	1.0	5	2	2	110		50	2	62	20.117065556711758
1		5	5	2	150		62	1	65	24.958579881656807
2		5	5	2	170		24	2	65	28.286390532544377
3	1.0	5	8	1	160		40	2	68	24.325259515570938
2	1.0	5	6	2	194		76	2	66	31.308999081726352
5		5	7	1	280		45	2	67	43.84940966807753
1		5	9	2	152		49	1	69	22.44402436462928
3		5	6	1	173		36	2	66	27.91988062442608
4		7	77	2	155		40	1	161	4.2037344238262415
3		6	1	1	235		66	1	73	31.00112591480578
1	1.0	5	2	2	135		36	2	62	24.689125910509887
3		5	9	2	180		30	1	69	26.578449905482042
4		5	8	1	135		23	2	68	20.524437716262977
4		5	1	1	150		76	2	61	28.339156140822357
2		5	6	2	220		44	1	66	35.505050505050505
5	2.0	5	4	1	210		51	2	64	36.04248046875
1		5	8	2	150		28	2	68	22.80493079584775
2		5	9	1	190		54	1	69	28.0550304557866
1		5	4	2	140		74	2	64	24.0283203125
3	2.0	5	11	2	350		38	1	71	48.809759968260266
1		5	10	2	190		31	1	70	27.259183673469387
2		5	8	2	220		36	1	68	33.44723183391004
4		5	7	1	140		53	2	67	21.924704834038764
2		5	9	1	182		56	1	69	26.873766015542955
1		6	1	2	195		42	1	73	25.724338525051607
1	1.0	5	3	2	117		51	2	63	20.723356009070294
2		5	4	2	140		32	2	64	24.0283203125
3		5	8	2	155		28	1	68	23.565095155709344
3		5	3	1	120		39	2	63	21.25472411186697
1		5	8	1	172		26	1	68	26.149653979238757
4		5	1	2	135		37	2	61	25.505240526740124
1		5	3	1	118		34	2	63	20.90047871000252
2	1.0	5	8	1	170		40	1	68	25.84558823529412
2	1.0	5	8	2	155		35	1	68	23.565095155709344
1	1.0	5	8	2	160		28	2	68	24.325259515570938
3		5	11	1	185		37	1	71	25.799444554651853
2		5	4	2	170		79	2	64	29.17724609375
1		5	4	2	122		84	2	64	20.93896484375
2		5	3	1	143		54	2	63	25.32854623330814
3		5	4	1	120		72	2	64	20.595703125
2		5	6	1	145		39	2	66	23.401056014692376
2		5	2	1	142		73	2	62	25.969302809573364
3		5	7	1	142		48	2	67	22.23791490309646
2		5	4	2	128		21	2	64	21.96875
4		5	0	1	120		29	2	60	23.433333333333334
3		5	5	2	116		31	2	65	19.30130177514793
1		5	1	2	119		51	2	61	22.482397205052404
4	1.0	6	0	2	222		67	1	72	30.105324074074076
3		5	3	1	178		51	2	63	31.527840765936006
2		5	4	1	190		31	2	64	32.60986328125
2		5	4	2	140		69	2	64	24.0283203125
3		5	6	1	160		52	2	66	25.821854912764003
2		5	9	2	155		34	1	69	22.886998529720646
1		5	11	1	150		79	1	71	20.91846855782583
3		5	8	1	160		45	1	68	24.325259515570938
2		5	5	2	110		18	1	65	18.302958579881658
3		5	0	2	133		71	2	60	25.971944444444446
1	2.0	5	10	2	186		76	1	70	26.685306122448978
3		6	2	2	200		37	1	74	25.675675675675674
5		5	6	1	170		44	2	66	27.435720844811755
3		6	0	2	300		20	1	72	40.682870370370374
1		5	6	1	145		71	2	66	23.401056014692376
2		5	4	2	98		94	2	64	16.81982421875
1		5	7	2	190		61	1	67	29.754956560481176
3		5	11	2	190		20	1	71	26.496726839912714
4		5	6	2	198		59	2	66	31.954545454545457
1		5	3	2	170		30	2	63	30.110859158478206
4		5	6	1	130		60	1	66	20.980257116620752
